"MABP" "CBFV" "nu" "cost" "train.cor" "test.cor" "fold"
"357" 7 1 0.5 16 0.9276 0.146665571900567 2
"358" 5 1 0.6 4 0.9259 0.146648796306229 2
"359" 5 1 0.6 32 0.926 0.14660814138711 2
"360" 7 3 0.3 16 0.9877 0.146524246056927 2
"361" 8 1 0.1 0.5 0.9262 0.146510099091305 2
"362" 8 2 0.4 1024 0.9843 0.146443071897709 1
"363" 5 1 0.6 2 0.9259 0.146225855918067 2
"364" 6 1 0.5 1 0.9261 0.146213322402976 2
"365" 5 1 0.6 8 0.926 0.14603349402298 2
"366" 7 1 0.6 0.25 0.9262 0.145786856633385 2
"367" 5 1 0.6 16 0.926 0.145650369162651 2
"368" 6 1 0.5 2 0.9262 0.145046676048742 2
"369" 7 1 0.5 64 0.9276 0.144966648188493 2
"370" 7 1 0.6 0.5 0.9266 0.1446849447749 2
"371" 7 3 0.7 1024 0.9877 0.144465828079744 2
"372" 8 1 0.4 2 0.9111 0.144161509067636 1
"373" 7 1 0.5 32 0.9276 0.144064038447115 2
"374" 8 2 0.2 32 0.9841 0.144004176908869 1
"375" 8 2 0.2 16 0.984 0.143799470027846 1
"376" 7 1 0.8 0.25 0.9262 0.142905196102224 2
"377" 8 3 0.2 8 0.9847 0.142784902683675 1
"378" 8 1 0.4 4 0.9134 0.142710746044032 1
"379" 8 2 0.7 10000 0.9844 0.142688943767855 1
"380" 5 1 0.5 1024 0.926 0.142427201488468 2
"381" 8 2 0.7 128 0.9844 0.142047236959578 1
"382" 6 1 0.8 1 0.926 0.142046028991488 2
"383" 5 1 0.7 1024 0.926 0.141958453251761 2
"384" 8 3 0.9 256 0.9853 0.141620360693146 1
"385" 7 1 0.1 4 0.9265 0.141532706738234 2
"386" 5 1 0.7 0.5 0.9258 0.141530558354532 2
"387" 6 1 0.6 0.25 0.9259 0.141509836129354 2
"388" 7 1 0.2 2 0.9267 0.141500046005863 2
"389" 6 1 0.6 0.5 0.926 0.141437314220479 2
"390" 8 2 0.8 1024 0.9863 0.141312609549059 2
"391" 6 1 0.7 0.25 0.9258 0.141076516282236 2
"392" 7 1 0.3 2 0.9267 0.141052738129971 2
"393" 7 1 0.6 1 0.927 0.140954504992655 2
"394" 8 2 0.7 256 0.9844 0.140861206901509 1
"395" 6 1 0.4 512 0.9263 0.14073785560153 2
"396" 5 1 0.7 512 0.926 0.140689590164924 2
"397" 5 1 0.6 0.5 0.9259 0.1406859371384 2
"398" 7 3 0.2 16 0.9876 0.140509833507428 2
"399" 5 1 0.6 0.25 0.9258 0.140247136331446 2
"400" 5 1 0.7 32 0.926 0.140223391715228 2
"401" 8 1 0.4 128 0.9144 0.14016066978678 1
"402" 3 2 0.7 10000 0.968 0.140113069143958 2
"403" 8 3 0.5 1024 0.9875 0.139826220929764 2
"404" 7 3 0.5 16 0.9854 0.139725966022598 1
"405" 7 1 0.4 0.5 0.9263 0.139715280702173 2
"406" 6 1 0.4 1024 0.9263 0.139652420065704 2
"407" 8 1 0.7 0.25 0.9061 0.139590407223413 1
"408" 5 1 0.7 256 0.926 0.139547635748576 2
"409" 5 1 0.7 0.25 0.9257 0.139468846272831 2
"410" 8 1 0.4 64 0.9144 0.139437648948654 1
"411" 6 1 0.6 2 0.9262 0.139406075679729 2
"412" 8 1 0.4 8 0.914 0.139374642364178 1
"413" 5 1 0.7 128 0.926 0.139330438803372 2
"414" 6 1 0.4 256 0.9263 0.139176754532195 2
"415" 5 1 0.7 64 0.926 0.139152299748822 2
"416" 8 3 0.8 32 0.9854 0.139118106592541 1
"417" 6 1 0.4 128 0.9263 0.139116275419225 2
"418" 5 1 0.7 2 0.926 0.139109364193654 2
"419" 8 2 0.2 4 0.9868 0.138926469636984 2
"420" 8 1 0.3 8 0.9118 0.138834583828852 1
"421" 8 1 0.4 16 0.9145 0.13873905237893 1
"422" 5 1 0.7 1 0.9259 0.138669669374564 2
"423" 7 1 0.6 1 0.9054 0.138620895458762 1
"424" 8 2 0.9 8 0.9869 0.138296687780056 2
"425" 5 1 0.5 512 0.926 0.138291131708896 2
"426" 7 1 0.6 2 0.9273 0.138262125723684 2
"427" 8 1 0.6 0.5 0.9279 0.138254256875208 2
"428" 7 1 0.5 1024 0.9276 0.138147060207997 2
"429" 5 1 0.7 8 0.926 0.13806023454506 2
"430" 5 1 0.7 16 0.926 0.137881432206417 2
"431" 8 3 0.9 16 0.9855 0.137782984020361 1
"432" 5 1 0.5 128 0.926 0.137722510440182 2
"433" 7 3 0.3 32 0.9853 0.137687762006027 1
"434" 5 1 0.5 256 0.926 0.137658773408744 2
"435" 7 1 0.3 128 0.9083 0.137611663547895 1
"436" 8 3 0.8 16 0.9855 0.137513973768346 1
"437" 7 1 0.6 2 0.9064 0.13749533620329 1
"438" 6 1 0.8 2 0.9262 0.137437609520482 2
"439" 7 1 0.3 64 0.9082 0.137415209994523 1
"440" 7 1 0.3 256 0.9085 0.137359777205025 1
"441" 5 1 0.7 4 0.926 0.137230857918508 2
"442" 8 2 0.7 16 0.9844 0.137192397135831 1
"443" 8 1 0.6 0.5 0.908 0.137183505447315 1
"444" 7 1 0.3 1024 0.9087 0.137085306253111 1
"445" 7 1 0.3 512 0.9087 0.137081880038338 1
"446" 7 1 0.6 4 0.9074 0.136999349169137 1
"447" 8 2 0.4 0.25 0.9734 0.136954896868681 1
"448" 5 1 0.5 64 0.926 0.136947013855588 2
"449" 8 3 0.2 16 0.9848 0.136922803506635 1
"450" 8 2 0.3 0.25 0.9649 0.13662360134954 1
"451" 6 1 0.6 32 0.9264 0.136615238594061 2
"452" 8 1 0.4 32 0.9145 0.136614310447769 1
"453" 7 3 0.9 128 0.9877 0.136610389617201 2
"454" 7 1 0.3 32 0.9077 0.136370185705893 1
"455" 6 1 0.6 16 0.9264 0.1361356700047 2
"456" 7 1 0.3 10000 0.9086 0.136033016702883 1
"457" 5 1 0.5 32 0.926 0.135977283059139 2
"458" 7 1 0.7 0.25 0.9263 0.135971320392829 2
"459" 8 2 0.9 32 0.9869 0.135480048597269 2
"460" 7 1 0.6 16 0.9094 0.135384117434891 1
"461" 7 1 0.6 8 0.9083 0.135213111343588 1
"462" 8 1 0.7 0.5 0.9278 0.135191626527603 2
