"MABP" "CBFV" "nu" "cost" "train.cor" "test.cor" "fold"
"168" 7 2 0.5 1024 0.9775 0.585492679855773 2
"169" 7 2 0.4 512 0.9752 0.585481236839455 1
"170" 8 2 0.8 1024 0.975 0.585427613882023 1
"171" 7 3 0.8 128 0.9769 0.585410322100605 1
"172" 3 3 0.1 8 0.9702 0.585357397971029 1
"173" 4 1 0.1 10000 0.9194 0.585296263397485 1
"174" 7 2 0.5 128 0.9775 0.585201081737182 2
"175" 7 1 0.6 4 0.9197 0.585170028825289 1
"176" 8 3 0.3 128 0.9774 0.585144403321548 1
"177" 7 2 0.5 1024 0.9751 0.585127293108797 1
"178" 4 1 0.2 16 0.9207 0.58502679635351 1
"179" 3 1 0.4 1024 0.9221 0.585009942194463 1
"180" 8 2 0.9 16 0.9748 0.584977498538406 1
"181" 6 3 0.4 256 0.9776 0.584908490082968 1
"182" 8 3 0.7 8 0.9762 0.584813529595495 1
"183" 8 2 0.9 256 0.9751 0.584754172604618 1
"184" 8 2 0.8 256 0.975 0.584734092756428 1
"185" 3 1 0.7 10000 0.9216 0.584711537648911 1
"186" 7 3 0.2 32 0.9768 0.584701991512469 1
"187" 3 1 0.4 256 0.9221 0.584658216663796 1
"188" 3 3 0.2 128 0.9763 0.584656486324611 1
"189" 6 1 0.5 16 0.9204 0.584655032374293 1
"190" 7 2 0.5 64 0.9775 0.58455382097847 2
"191" 3 3 0.2 512 0.9763 0.584480296339337 1
"192" 8 2 0.8 64 0.975 0.584416987453812 1
"193" 3 2 0.8 4 0.9733 0.584414684147188 1
"194" 7 1 0.1 512 0.9173 0.58437934845208 1
"195" 7 3 0.6 16 0.9772 0.584328020125317 1
"196" 7 2 0.7 64 0.9775 0.584307795286442 2
"197" 3 2 0.9 32 0.9746 0.584296417077274 1
"198" 6 3 0.8 512 0.9772 0.584284066838339 1
"199" 3 1 0.4 512 0.9221 0.584194933960355 1
"200" 4 2 0.1 1024 0.9748 0.584175180676846 1
"201" 7 3 0.8 256 0.9769 0.584165675412708 1
"202" 7 3 0.2 16 0.9762 0.584084487019838 1
"203" 6 3 0.9 10000 0.9769 0.584028316696519 1
"204" 7 2 0.7 128 0.9775 0.584018336127951 2
"205" 7 3 0.8 512 0.9769 0.584007662412413 1
"206" 8 2 0.7 10000 0.9749 0.583978286249609 1
"207" 3 3 0.3 128 0.9768 0.583959516396422 1
"208" 7 2 0.7 512 0.9775 0.58381727882598 2
"209" 6 3 0.6 10000 0.9772 0.583730879282799 1
"210" 7 2 0.7 256 0.9775 0.583718730186571 2
"211" 6 1 0.6 128 0.9203 0.583637751902814 1
"212" 8 2 0.7 16 0.9747 0.583536955658799 1
"213" 4 1 0.4 512 0.9218 0.583415833898209 1
"214" 3 1 0.5 128 0.922 0.583380253904794 1
"215" 8 3 0.4 16 0.977 0.583236116507003 1
"216" 4 1 0.3 64 0.9218 0.583176968553199 1
"217" 3 1 0.6 8 0.922 0.583175534942978 1
"218" 7 2 0.7 1024 0.9775 0.583083655580153 2
"219" 6 1 0.6 16 0.9207 0.583027285672939 1
"220" 4 1 0.4 128 0.9219 0.583023290275467 1
"221" 7 2 0.7 8 0.9774 0.582997342551791 2
"222" 8 3 0.3 256 0.9774 0.58297777240775 1
"223" 3 1 0.6 32 0.922 0.582967326381476 1
"224" 6 3 0.5 32 0.9776 0.582964613071608 1
"225" 7 2 0.7 32 0.9775 0.582832623581017 2
"226" 8 2 0.8 32 0.975 0.582805335183505 1
"227" 4 1 0.4 256 0.9219 0.582798970944187 1
"228" 8 2 0.9 32 0.975 0.582744039650448 1
"229" 8 2 0.4 512 0.9752 0.582732354298231 1
"230" 7 2 0.3 10000 0.9762 0.582727879578021 2
"231" 7 1 0.1 128 0.9172 0.582627205178885 1
"232" 7 3 0.8 1024 0.9768 0.582593764962299 1
"233" 7 2 0.8 256 0.9753 0.582451074601571 1
"234" 3 2 0.9 16 0.9747 0.582409336036761 1
"235" 7 2 0.4 128 0.9752 0.582344239222749 1
"236" 7 2 0.5 256 0.9752 0.582333153225656 1
"237" 6 3 0.8 256 0.9771 0.582293530304957 1
"238" 7 2 0.4 10000 0.9751 0.582252905123259 1
"239" 7 2 0.5 32 0.9775 0.582250880193152 2
"240" 5 1 0.7 256 0.9205 0.582243618544263 1
"241" 8 2 0.9 1024 0.9751 0.582202080287362 1
"242" 3 1 0.2 4 0.9184 0.582183253453361 1
"243" 7 2 0.4 256 0.9752 0.582177144356686 1
"244" 4 2 0.8 10000 0.975 0.582122147732248 1
"245" 7 1 0.5 8 0.9203 0.582077094823704 1
"246" 7 1 0.7 4 0.9197 0.582058498304639 1
"247" 8 2 0.8 128 0.975 0.581889088034409 1
"248" 6 1 0.5 8 0.9205 0.581886528829488 1
"249" 3 2 0.9 64 0.9746 0.581869716451966 1
"250" 3 3 0.8 16 0.9766 0.581863802332805 1
"251" 5 1 0.6 16 0.9213 0.581842647570261 1
"252" 7 3 0.2 10000 0.9812 0.5816825589152 2
"253" 3 3 0.9 1 0.9669 0.581662008682247 1
"254" 3 2 0.4 1 0.9647 0.581545997050614 1
"255" 6 1 0.4 32 0.9205 0.581524757575671 1
"256" 3 3 0.4 16 0.9766 0.581500460108605 1
"257" 3 2 0.8 8 0.9743 0.581489260803059 1
"258" 3 3 0.2 1024 0.9763 0.581461331611118 1
"259" 7 2 0.7 16 0.9775 0.581306590862562 2
"260" 5 1 0.7 512 0.9206 0.58126947646422 1
"261" 6 1 0.6 8 0.9204 0.58125225342915 1
"262" 3 1 0.3 8 0.9213 0.581239693076469 1
"263" 6 3 0.8 128 0.9772 0.581227853292212 1
"264" 3 1 0.5 64 0.922 0.581156372355838 1
"265" 8 1 0.2 8 0.919 0.581148548648374 1
"266" 6 3 0.3 512 0.9775 0.581143110579944 1
"267" 3 3 0.3 4 0.9731 0.581131439851779 1
"268" 6 1 0.6 64 0.9204 0.581094037781032 1
"269" 8 1 0.1 128 0.9187 0.581073378299589 1
"270" 3 3 0.4 8 0.9753 0.581043657461534 1
"271" 3 1 0.5 32 0.922 0.580989062191484 1
"272" 5 3 0.5 512 0.977 0.580963654572673 1
"273" 7 2 0.8 128 0.9753 0.580961275962761 1
"274" 3 2 0.4 2 0.9699 0.580956644028334 1
"275" 7 2 0.8 8 0.9774 0.580925992175533 2
"276" 7 2 0.3 512 0.9775 0.580749514012834 2
"277" 7 2 0.7 4 0.9772 0.580692958517359 2
"278" 8 3 0.9 1024 0.9767 0.580627953974152 1
"279" 3 3 0.2 2 0.9651 0.580624883767102 1
"280" 6 3 0.8 64 0.9772 0.58062105772552 1
"281" 3 3 0.9 8 0.9761 0.580578243471368 1
"282" 3 3 0.1 16 0.9734 0.58057751316619 1
"283" 3 2 0.8 16 0.9744 0.58057170326072 1
"284" 8 3 0.4 64 0.9775 0.580544976185631 1
"285" 7 2 0.4 64 0.9776 0.580518230660668 2
"286" 5 1 0.9 10000 0.9204 0.580377120144299 1
"287" 6 2 0.3 512 0.9774 0.580309628371616 2
"288" 3 3 0.5 8 0.976 0.580282749757133 1
"289" 3 1 0.5 512 0.922 0.580261696257635 1
"290" 7 1 0.1 1024 0.9172 0.580234508785945 1
"291" 3 3 0.4 4 0.9734 0.58021500843915 1
"292" 7 2 0.6 128 0.9776 0.580184835782865 2
"293" 4 1 0.5 64 0.9217 0.580171756836568 1
"294" 4 1 0.4 10000 0.9215 0.58013249570974 1
"295" 7 2 0.3 1024 0.9775 0.580128367215655 2
"296" 7 2 0.3 64 0.9775 0.580125229699962 2
"297" 7 2 0.4 128 0.9775 0.58011532915634 2
"298" 6 1 0.6 32 0.9206 0.580106023325575 1
"299" 3 2 0.2 2 0.966 0.580097007839142 1
"300" 3 1 0.3 16 0.9217 0.580026977899782 1
"301" 6 1 0.6 256 0.9203 0.580005358437033 1
"302" 8 3 0.9 8 0.9764 0.579974899981457 1
"303" 5 1 0.7 1024 0.9206 0.579926305102837 1
"304" 4 1 0.2 4 0.9183 0.57992193174291 1
"305" 6 2 0.3 128 0.9774 0.57990009330517 2
"306" 7 3 0.8 64 0.977 0.579820320189503 1
"307" 6 3 0.4 64 0.9776 0.579811563861625 1
"308" 8 3 0.4 10000 0.9774 0.579774092526769 1
"309" 5 3 0.5 1024 0.977 0.579772843698703 1
"310" 7 2 0.6 32 0.9775 0.579700182221939 2
"311" 4 3 0.6 1024 0.9769 0.57967367530564 1
"312" 7 3 0.4 16 0.9771 0.579629685628287 1
"313" 7 3 0.3 32 0.977 0.579618302421102 1
"314" 7 3 0.3 64 0.9773 0.579576640174743 1
"315" 7 2 0.7 512 0.9753 0.579543395056754 1
"316" 3 2 0.8 1024 0.9746 0.579478823614287 1
"317" 7 2 0.6 16 0.975 0.579424623185141 1
"318" 7 2 0.7 128 0.9753 0.579423915999739 1
"319" 3 2 0.9 128 0.9746 0.579323002432986 1
"320" 5 3 0.5 256 0.977 0.579310880727108 1
"321" 7 2 0.4 256 0.9775 0.579279886245473 2
"322" 7 2 0.7 256 0.9753 0.579231741676333 1
"323" 7 1 0.1 256 0.9172 0.579221501512703 1
"324" 3 2 0.8 32 0.9744 0.579217820467256 1
"325" 7 2 0.8 16 0.9774 0.579201979145494 2
"326" 7 2 0.6 16 0.9775 0.579194734204213 2
"327" 6 1 0.1 256 0.9183 0.57918791063175 1
"328" 5 1 0.7 10000 0.9207 0.579175163452762 1
"329" 5 3 0.3 10000 0.977 0.579073661303758 1
"330" 3 2 0.8 64 0.9745 0.578987321373061 1
"331" 7 2 0.8 64 0.9774 0.578946108196917 2
"332" 3 1 0.5 256 0.922 0.578925747222899 1
"333" 7 2 0.6 64 0.9775 0.578875393681609 2
"334" 7 2 0.4 512 0.9775 0.578872257712086 2
"335" 4 1 0.4 1024 0.9218 0.578862167366844 1
"336" 3 2 0.9 1 0.9677 0.57878810618891 1
"337" 3 1 0.1 512 0.9195 0.578785562640569 1
"338" 7 2 0.6 512 0.9776 0.578772146274308 2
"339" 6 1 0.1 128 0.9183 0.578759423481158 1
"340" 7 2 0.6 256 0.9776 0.578756401063731 2
"341" 3 2 0.9 512 0.9746 0.578751693291781 1
"342" 7 2 0.3 128 0.9775 0.578736577435838 2
"343" 6 2 0.3 256 0.9775 0.578732390534716 2
"344" 6 2 0.6 512 0.9775 0.578650385300027 2
"345" 3 1 0.1 8 0.9187 0.578621525836448 1
"346" 7 2 0.3 256 0.9775 0.578620845053679 2
"347" 3 2 0.8 256 0.9746 0.578593595950027 1
"348" 7 2 0.6 1024 0.9776 0.578584578319851 2
"349" 7 2 0.8 32 0.9774 0.578584054632204 2
"350" 3 3 0.8 0.5 0.9613 0.578528864333799 1
"351" 3 2 0.9 256 0.9746 0.578524745324397 1
"352" 7 2 0.5 16 0.9775 0.578468750053975 2
"353" 7 3 0.8 32 0.9769 0.578465420058236 1
