"MABP" "CBFV" "nu" "cost" "train.cor" "test.cor" "fold"
"147" 8 1 0.3 1024 0.931 0.637397872241765 2
"148" 8 2 0.4 128 0.9466 0.637349487683323 2
"149" 6 3 0.6 512 0.9559 0.637326911948037 2
"150" 6 3 0.6 16 0.956 0.637263716790805 2
"151" 6 3 0.6 64 0.956 0.637182049110336 2
"152" 8 1 0.7 2 0.9308 0.63711712211839 2
"153" 6 3 0.6 128 0.9559 0.63710077250326 2
"154" 6 1 0.3 2 0.9309 0.637026800502637 2
"155" 8 2 0.6 2 0.9462 0.636979735334355 2
"156" 8 1 0.3 256 0.931 0.636917348858119 2
"157" 8 3 0.9 8 0.9558 0.636874432657622 2
"158" 6 1 0.6 2 0.9308 0.636753493708203 2
"159" 6 3 0.6 8 0.956 0.636738042192344 2
"160" 8 2 0.6 16 0.9466 0.636730906368038 2
"161" 8 2 0.4 512 0.9466 0.636704726685389 2
"162" 8 1 0.6 512 0.9308 0.63670194211584 2
"163" 8 1 0.5 16 0.931 0.63669642345535 2
"164" 8 2 0.4 256 0.9466 0.636693132870727 2
"165" 6 1 0.9 32 0.9307 0.636688198809629 2
"166" 8 2 0.6 32 0.9467 0.636678972338366 2
"167" 6 1 0.9 16 0.9308 0.636625937466724 2
"168" 8 1 0.6 8 0.9309 0.636614290046566 2
"169" 8 1 0.5 512 0.9311 0.636572892559584 2
"170" 8 1 0.5 128 0.9311 0.63652648718045 2
"171" 6 1 0.5 1024 0.9309 0.636487625251002 2
"172" 8 1 0.6 1 0.9308 0.636428012948565 2
"173" 6 1 0.4 0.5 0.9306 0.636407760451771 2
"174" 8 1 0.6 2 0.9308 0.636407232475842 2
"175" 8 1 0.5 256 0.9311 0.636358003811504 2
"176" 6 1 0.9 64 0.9307 0.636355131392546 2
"177" 8 1 0.8 2 0.931 0.636305719654317 2
"178" 6 1 0.5 256 0.9309 0.636253580988116 2
"179" 7 3 0.6 1024 0.9559 0.636248128939509 2
"180" 8 1 0.3 512 0.931 0.636212247882932 2
"181" 8 1 0.5 1024 0.931 0.636211334568814 2
"182" 8 1 0.3 128 0.931 0.636192366262895 2
"183" 8 1 0.7 1 0.9307 0.636164184326831 2
"184" 6 1 0.5 512 0.9309 0.636146862537407 2
"185" 8 1 0.6 4 0.9309 0.636030802284805 2
"186" 6 1 0.9 128 0.9307 0.636002241679394 2
"187" 6 1 0.8 1024 0.9308 0.635990169644011 2
"188" 6 1 0.9 8 0.9309 0.635990130668833 2
"189" 6 1 0.5 128 0.9309 0.635986952459578 2
"190" 6 1 0.5 64 0.9309 0.635951260325287 2
"191" 8 3 0.8 2 0.9552 0.635871988993077 2
"192" 6 1 0.8 128 0.9308 0.635841199000559 2
"193" 6 1 0.9 1 0.9308 0.635833866085516 2
"194" 8 2 0.8 1 0.9459 0.635786443267022 2
"195" 6 1 0.9 4 0.9309 0.635785885493129 2
"196" 6 1 0.9 2 0.9309 0.635759071082592 2
"197" 6 1 0.3 8 0.9309 0.635748882334008 2
"198" 6 1 0.5 32 0.9309 0.635741757325993 2
"199" 8 2 0.9 1 0.9459 0.63571138666438 2
"200" 8 2 0.7 1 0.9459 0.635694657548605 2
"201" 6 1 0.3 128 0.9309 0.635693031273803 2
"202" 8 3 0.9 4 0.9555 0.635687940443643 2
"203" 8 1 0.8 1 0.9308 0.635658838521195 2
"204" 6 1 0.3 16 0.9309 0.635656408932777 2
"205" 6 1 0.8 64 0.9308 0.635604651350603 2
"206" 6 1 0.3 64 0.9309 0.635596153236081 2
"207" 8 1 0.5 8 0.931 0.635552411976435 2
"208" 6 1 0.8 256 0.9308 0.635534393313246 2
"209" 6 1 0.9 256 0.9307 0.635511018599038 2
"210" 6 1 0.9 512 0.9307 0.63550721482205 2
"211" 6 1 0.5 16 0.9309 0.635491493429225 2
"212" 6 1 0.6 4 0.9309 0.635457266858257 2
"213" 6 1 0.8 32 0.9308 0.635451405778885 2
"214" 8 3 0.4 8 0.9557 0.635420851310228 2
"215" 6 1 0.6 1 0.9307 0.635400524735936 2
"216" 6 1 0.3 512 0.9309 0.635383513929427 2
"217" 8 1 0.6 10000 0.9303 0.63537063908533 2
"218" 6 1 0.8 512 0.9308 0.635303455307966 2
"219" 6 1 0.3 4 0.9309 0.635233359082099 2
"220" 8 1 0.9 0.5 0.9307 0.63516660225134 2
"221" 8 3 0.4 4 0.9555 0.635161014997009 2
"222" 6 1 0.3 32 0.9309 0.635146221090751 2
"223" 8 3 0.7 8 0.9559 0.635122251084884 2
"224" 7 3 0.6 128 0.9559 0.635112085606027 2
"225" 6 3 0.5 4 0.9556 0.63503729361937 2
"226" 6 1 0.3 256 0.9309 0.63501723503399 2
"227" 6 1 0.8 1 0.9307 0.634974817030606 2
"228" 6 1 0.6 32 0.9308 0.634971849125844 2
"229" 6 1 0.5 4 0.9308 0.634949516756893 2
"230" 7 3 0.6 32 0.9559 0.634900706906442 2
"231" 6 1 0.6 16 0.9308 0.634865812100832 2
"232" 6 1 0.5 8 0.9308 0.634864724390832 2
"233" 6 1 0.8 8 0.9308 0.634855029171093 2
"234" 6 1 0.5 2 0.9307 0.634794693488226 2
"235" 6 1 0.6 64 0.9307 0.634788254110132 2
"236" 8 1 0.6 1024 0.9307 0.634775713532647 2
"237" 8 3 0.9 2 0.9551 0.63477515462736 2
"238" 8 1 0.6 0.5 0.9306 0.634771755346427 2
"239" 6 1 0.3 1024 0.9309 0.634749703422055 2
"240" 6 1 0.6 128 0.9307 0.634742758398529 2
"241" 8 2 0.4 1024 0.9466 0.634732626142269 2
"242" 6 1 0.8 16 0.9309 0.634729040062256 2
"243" 7 3 0.6 512 0.9559 0.634727245123953 2
"244" 8 3 0.6 4 0.9557 0.634727147354825 2
"245" 6 1 0.6 8 0.9308 0.634714664035841 2
"246" 6 1 0.9 1024 0.9307 0.634688661086126 2
"247" 7 3 0.6 64 0.9559 0.634650164026263 2
"248" 6 1 0.6 512 0.9308 0.634504849639951 2
"249" 8 2 0.3 16 0.9465 0.634488955647914 2
"250" 8 1 0.5 2 0.9309 0.634443953752028 2
"251" 8 2 0.4 32 0.9466 0.634441216521078 2
"252" 8 1 0.7 0.5 0.9306 0.63443947484933 2
"253" 6 1 0.5 0.5 0.9307 0.63441183086919 2
"254" 8 1 0.3 64 0.931 0.634348128308655 2
"255" 6 1 0.6 256 0.9308 0.634300520037255 2
"256" 6 1 0.7 4 0.9309 0.634237296066689 2
"257" 6 3 0.6 4 0.9556 0.634185320308134 2
"258" 8 1 0.3 0.5 0.9306 0.634177973734849 2
"259" 6 1 0.6 1024 0.9308 0.634175535568134 2
"260" 6 3 0.5 32 0.956 0.634073884987518 2
"261" 6 1 0.6 0.5 0.9306 0.634070392290706 2
"262" 7 3 0.6 256 0.9559 0.63405683238166 2
"263" 8 2 0.6 4 0.9465 0.634055031695951 2
"264" 6 3 0.5 8 0.9558 0.633971184526825 2
"265" 6 1 0.9 0.5 0.9306 0.633951752645654 2
"266" 8 1 0.3 2 0.9309 0.633940718335652 2
"267" 8 3 0.7 2 0.9553 0.633930139991942 2
"268" 8 1 0.8 0.5 0.9306 0.633902371750109 2
"269" 6 1 0.8 4 0.9309 0.633900872933308 2
"270" 8 3 0.9 1 0.9544 0.633855227772316 2
"271" 8 1 0.5 0.5 0.9307 0.633852908667418 2
"272" 8 2 0.6 1 0.9459 0.633842357812354 2
"273" 6 1 0.7 2 0.9308 0.633801197399219 2
"274" 5 3 0.6 128 0.9559 0.633721680966088 2
"275" 8 1 0.3 1 0.9308 0.633695196476854 2
"276" 7 3 0.6 16 0.9559 0.633682586848773 2
"277" 6 3 0.5 128 0.9558 0.633677756151293 2
"278" 6 3 0.4 1 0.9539 0.633649727226505 2
"279" 8 2 0.5 1024 0.9466 0.6336490167614 2
"280" 8 3 0.2 512 0.9557 0.633643097419557 2
"281" 8 2 0.4 16 0.9465 0.633585037764927 2
"282" 8 2 0.9 0.5 0.9453 0.633580115067037 2
"283" 6 3 0.5 256 0.9558 0.633575399374151 2
"284" 6 3 0.5 1024 0.9558 0.633561017725137 2
"285" 8 3 0.3 1024 0.9559 0.63355323814242 2
"286" 8 2 0.3 64 0.9465 0.633522748407544 2
"287" 6 1 0.7 8 0.9309 0.633494839095398 2
"288" 6 1 0.8 0.5 0.9306 0.633466304401762 2
"289" 8 2 0.7 0.5 0.9454 0.633464103584016 2
"290" 6 1 0.7 16 0.9308 0.633447177632762 2
"291" 6 1 0.7 256 0.9308 0.633444259427769 2
"292" 8 1 0.5 4 0.9309 0.633437193747146 2
"293" 8 1 0.3 0.25 0.9303 0.633427153523963 2
"294" 6 1 0.5 1 0.9307 0.633410117369683 2
"295" 8 2 0.8 0.5 0.9451 0.633397392040473 2
"296" 8 3 0.8 1024 0.9559 0.633395301965589 2
"297" 6 3 0.5 512 0.9559 0.633356090487517 2
"298" 8 3 0.6 2 0.9553 0.63334460607946 2
"299" 8 1 0.5 1 0.9308 0.633321458551603 2
"300" 6 1 0.2 1 0.9304 0.633243520568619 2
"301" 6 1 0.8 2 0.9308 0.633224695534788 2
"302" 6 1 0.7 0.5 0.9305 0.633223548344177 2
"303" 6 3 0.5 64 0.9559 0.63316941826082 2
"304" 8 2 0.3 128 0.9465 0.633106397459148 2
"305" 5 3 0.6 16 0.9561 0.633095809425016 2
"306" 8 1 0.6 0.25 0.9304 0.633080725384403 2
"307" 6 1 0.7 128 0.9308 0.633060350778779 2
"308" 5 3 0.6 256 0.9559 0.633047480747875 2
"309" 5 3 0.6 64 0.956 0.63299441753007 2
"310" 6 1 0.7 64 0.9308 0.63297180601076 2
"311" 6 3 0.4 2 0.9547 0.632968797111447 2
"312" 6 3 0.7 512 0.9559 0.632957184303745 2
"313" 8 1 0.8 0.25 0.9303 0.632954296365536 2
"314" 6 1 0.7 32 0.9308 0.632915108490306 2
"315" 8 3 0.4 2 0.9551 0.632910399363407 2
"316" 6 3 0.8 512 0.9559 0.632849256952229 2
"317" 7 3 0.5 512 0.9558 0.632813670530358 2
"318" 6 3 0.8 1024 0.9559 0.632805893068284 2
"319" 8 1 0.9 0.25 0.9304 0.632801307190296 2
"320" 6 3 0.5 16 0.956 0.632742815480379 2
"321" 6 1 0.7 1 0.9306 0.632712791142797 2
"322" 8 1 0.3 32 0.931 0.632691805542767 2
"323" 7 3 0.5 1024 0.956 0.632683647021398 2
"324" 7 3 0.6 8 0.9559 0.632567560731431 2
"325" 8 3 0.7 4 0.9557 0.632557410225178 2
"326" 6 1 0.7 512 0.9307 0.632518189304823 2
"327" 6 3 0.5 2 0.9549 0.632495305288892 2
"328" 5 3 0.6 1024 0.9559 0.632494955208565 2
"329" 6 3 0.8 64 0.956 0.632472268472865 2
"330" 8 3 0.5 0.5 0.9526 0.63246040649624 2
"331" 8 3 0.3 512 0.9559 0.632445045350905 2
"332" 8 3 0.5 1 0.9542 0.632356235012252 2
"333" 6 3 0.5 1 0.9539 0.632307430733497 2
"334" 8 1 0.4 1 0.9308 0.63229672285508 2
"335" 6 3 0.7 256 0.9559 0.632288354351696 2
"336" 8 3 0.2 256 0.9558 0.632273368008072 2
"337" 8 1 0.4 0.25 0.9305 0.632256872206572 2
"338" 6 3 0.9 1024 0.9559 0.632244078482807 2
"339" 8 1 0.5 0.25 0.9304 0.632213549090411 2
"340" 8 2 0.3 512 0.9465 0.63217789707594 2
"341" 6 3 0.8 32 0.9559 0.632175457555179 2
"342" 7 3 0.5 256 0.9558 0.632171383840679 2
"343" 8 3 0.5 2 0.955 0.632168360743668 2
"344" 6 1 0.2 2 0.9306 0.632146507177836 2
"345" 6 3 0.8 4 0.9555 0.63205934864058 2
"346" 5 3 0.6 32 0.956 0.632051603784133 2
"347" 5 3 0.6 512 0.9559 0.63200389521009 2
"348" 8 3 0.6 1 0.9544 0.631983331616689 2
"349" 6 3 0.8 256 0.956 0.631981589057343 2
"350" 6 1 0.5 0.25 0.9305 0.631903678060615 2
